"Rank","NCT Number","Title","Acronym","Status","Study Results","Conditions","Interventions","Outcome Measures","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Type","Study Designs","Other IDs","Start Date","Primary Completion Date","Completion Date","First Posted","Results First Posted","Last Update Posted","Locations","Study Documents","URL"
356,"NCT03936660","A 12 Month Site Randomized Trial in Adults With Type 2 Diabetes Mellitus and History of Cardiovascular Disease","COORDINATE","Recruiting","No Results Available","Diabetes Mellitus, Type 2|Cardiovascular Diseases","Other: Intense Education Intervention","Implementing a clinic-level multifaceted intervention|Proportion of patients on guideline recommended therapies at 12 months.|Changes in cholesterol levels over 12 months.|Changes in blood pressure control over 12 months.|Changes in glycemic control over 12 months|Measurement of average time from baseline to patient event.","Duke University|Boehringer Ingelheim|Eli Lilly and Company","All","18 Years and older   (Adult, Older Adult)","Not Applicable","1380","Other|Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","Pro00101556","July 18, 2019","August 1, 2021","August 1, 2026","May 3, 2019",,"March 24, 2020","Grandview Health/Alabama Cardiovascular Group, Birmingham, Alabama, United States|Alaska Heart and Vascular Institute, Anchorage, Alaska, United States|Dignity Health/DHMG Specialty Medicine, Phoenix, Arizona, United States|Stanford University, Stanford, California, United States|Bridgeport Hospital, Bridgeport, Connecticut, United States|Orlando Heart and Vascular Institute, Altamonte Springs, Florida, United States|Riverside Medical Center, Bradenton, Florida, United States|Baptist Health Research Institute, Jacksonville, Florida, United States|Advanced Research for Health Improvement, LLC, Naples, Florida, United States|Bayfront Cardiovascular Associates, Saint Petersburg, Florida, United States|Interventional Cardiac Consultants, Trinity, Florida, United States|Emory/Grady Memorial Hospital, Atlanta, Georgia, United States|SouthCoast Health Cardiology, Savannah, Georgia, United States|Advocate Heart Institute, Chicago, Illinois, United States|Advanced Heart Care Group/Medicoricium LLC, Fairview Heights, Illinois, United States|Specialty Physicians of Illinois, Olympia Fields, Illinois, United States|UnityPoint Health Cardiovascular Services, Peoria, Illinois, United States|Prairie Cardiovascular Consultants, Springfield, Illinois, United States|Iowa Heart Center, Des Moines, Iowa, United States|The Johns Hopkins University, Baltimore, Maryland, United States|Endeavor Medical Research, Alpena, Michigan, United States|Cardiology Institute of Michigan, Flint, Michigan, United States|Rajendra H Mehta, MD, PC, Jackson, Michigan, United States|Hannibal Regional Medical Group, Hannibal, Missouri, United States|Advanced Heartcare LLC, Bridgewater, New Jersey, United States|New Jersey Heart, Linden, New Jersey, United States|Garden State Heart Care, Manalapan, New Jersey, United States|Cardiovasculare Associates of the Delaware Valley, Sewell, New Jersey, United States|Long Island Cardiovascular Consultants, Lake Success, New York, United States|Northwell Health/Lenox Hill Hospital, Manhasset, New York, United States|Kernodle Clinic, Burlington, North Carolina, United States|Cone Health/LeBauer Brodie Ctr for Cardiovascular Rsch, Greensboro, North Carolina, United States|Cardiovascular Health Clinic, Oklahoma City, Oklahoma, United States|Guthrie Medical Group, Sayre, Pennsylvania, United States|Advanced Cardiology Associates, Greenwood, South Carolina, United States|Black Hills Cardiovascular Research, Rapid City, South Dakota, United States|ProHealth Care Heart and Vascular, Waukesha, Wisconsin, United States",,"https://ClinicalTrials.gov/show/NCT03936660"
357,"NCT03925714","Impact of P53 and SIRT1 in Type 2 Diabetes",,"Recruiting","No Results Available","DM","Other: life style|Drug: Metformin|Drug: Nigetella salivata","Number of patients with improved insulin resistance","Sherief Abd-Elsalam|Tanta University","All","18 Years and older   (Adult, Older Adult)","Phase 3","90","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Prevention","dm 2","April 1, 2019","December 2028","December 2028","April 24, 2019",,"April 24, 2019","Sherief Abd-Elsalam, Cairo, Egypt",,"https://ClinicalTrials.gov/show/NCT03925714"
358,"NCT03797885","A Study of People With Type 2 Diabetes Who Have Diseases That Affect the Heart and Blood Vessels. The Study Will Also Look at the Treatment of a Group of These People in Hospitals in Portugal","PICT2RE","Completed","No Results Available","Diabetes Mellitus, Type 2","Other: No treatment given","Proportion of type 2 diabetes mellitus (T2DM) patients with cardiovascular risk factors (CVRFs) and/or established cardiovascular disease (CVD), regardless the date of diagnosis|Hypoglycaemic episodes|Hyperglycaemic episodes|Presence of T2DM complications (yes/no)|Types of T2DM complications|Hospital appointments|Hospitalisation episodes|Emergency visits|Change in waist circumference|Change in body mass index|Change in blood pressure|Change in urine albumin|Change in glycosylated hemoglobin (HbA1c)|Change in HbA1c|Change in Estimated Glomerular Filtration Rate (eGFR)|Change in total cholesterol|Change in low-density lipoprotein cholesterol|Change in high-density lipoprotein cholesterol|Change in triglyceride|Type of pharmacological treatment","Novo Nordisk A/S","All","18 Years and older   (Adult, Older Adult)",,"737","Industry","Observational","Observational Model: Cohort|Time Perspective: Cross-Sectional","NN2211-4435|U1111-1207-2878","January 15, 2019","October 15, 2019","October 15, 2019","January 9, 2019",,"November 7, 2019","Novo Nordisk Investigational Site, Almada, Portugal|Novo Nordisk Investigational Site, Caldas da Rainha, Portugal|Novo Nordisk Investigational Site, Leiria, Portugal|Novo Nordisk Investigational Site, Lisboa, Portugal|Novo Nordisk Investigational Site, Lisboa, Portugal|Novo Nordisk Investigational Site, Lisboa, Portugal|Novo Nordisk Investigational Site, Matosinhos, Portugal|Novo Nordisk Investigational Site, Portimão, Portugal|Novo Nordisk Investigational Site, Porto, Portugal|Novo Nordisk Investigational Site, Porto, Portugal|Novo Nordisk Investigational Site, Viana do Castelo, Portugal|Novo Nordisk Investigational Site, Vila Nova de Gaia, Portugal|Novo Nordisk Investigational Site, Vila Real, Portugal|Novo Nordisk Investigational Site, Viseu, Portugal",,"https://ClinicalTrials.gov/show/NCT03797885"
359,"NCT04143945","A Study Comparing the Injection Site Pain Experience After the Injection of Semaglutide B and Semaglutide D With 2 Different Injection Pens, a Compound for the Treatment of Type 2 Diabetes and Obesity",,"Completed","No Results Available","Healthy Volunteers Diabetes Mellitus, Type 2|Healthy Volunteers Overweight|Healthy Volunteers Obesity","Drug: Semaglutide (administered by DV3396 pen)|Drug: Semaglutide (administered by PDS290 pen)","Intensity of injection site pain","Novo Nordisk A/S","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","104","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","INS-4603|2019-003654-83|U1111-1239-7955","October 28, 2019","January 4, 2020","January 4, 2020","October 30, 2019",,"March 6, 2020","Novo Nordisk Investigational Site, Groningen, Netherlands",,"https://ClinicalTrials.gov/show/NCT04143945"
360,"NCT04007107","A Study Comparing the Injection Site Pain Experience After the Injection of 2 Different Solutions of Semaglutide With 2 Different Injection Pens, a Compound for the Treatment of Type 2 Diabetes and Obesity",,"Completed","No Results Available","Healthy Volunteers Diabetes Mellitus, Type 2|Healthy Volunteers Overweight|Healthy Volunteers Obesity","Drug: Semaglutide (administered by DV3396 pen)|Drug: Semaglutide (administered by PDS290 pen)","Intensity of injection site pain as assessed by visual analogue scale","Novo Nordisk A/S","All","18 Years to 75 Years   (Adult, Older Adult)","Phase 2","103","Industry","Interventional","Allocation: Randomized|Intervention Model: Crossover Assignment|Masking: Quadruple (Participant, Care Provider, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","INS-4582|2019-002284-10|U1111-1233-9590","June 27, 2019","July 28, 2019","September 4, 2019","July 5, 2019",,"September 9, 2019","Novo Nordisk Investigational Site, Groningen, Netherlands",,"https://ClinicalTrials.gov/show/NCT04007107"
361,"NCT04092959","The Effect of Different Training Programs on Patients With Chronic Diseases",,"Recruiting","No Results Available","Hypertension|Hypertension Complicated With Type 2 Diabetes|Walking|Chinese Square Dancing","Behavioral: Walking|Behavioral: Chinese square dancing group|Behavioral: Control group","Change from Baseline Systolic Blood Pressure at 3 months|Change from Baseline Fasting Blood Glucose at 3 months|Change from Cardiorespiratory Fitness at 3 months|Change from Muscle Strength at 3 months|Change from Muscle Endurance at 3 months|Change from Flexibility at 3 months|Change from Balance at 3 months|Change from Body Composition at 3 months|Time and Frequency of Adverse Reactions and Serious Adverse Events through the study completion","Beijing Sport Uninversity|Peking University","All","40 Years to 69 Years   (Adult, Older Adult)","Not Applicable","240","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","BSU2016YFC1300202","September 20, 2019","November 30, 2020","December 30, 2020","September 17, 2019",,"September 17, 2019","Garden Road Community Health Service Center, Beijing, Beijing, China",,"https://ClinicalTrials.gov/show/NCT04092959"
362,"NCT03890900","T2DXcel Mobile Application","T2DXcel","Recruiting","No Results Available","Diabetes Mellitus, Type 2","Other: T2DXcel mobile application","Change from baseline hemoglobin A1c to 3 and 6 months|Patient satisfaction measured by the Client Satisfaction Questionnaire-8|Change from baseline diabetes knowledge to 3 months and 6 months|Change from baseline diabetes self-management capabilities to 3 months and 6 months|Change from baseline diabetes self-efficacy to 3 months and 6 months|Change from baseline diabetes quality of life to 3 months and 6 months|Change from baseline LDL cholesterol to 3 months and 6 months","Montefiore Medical Center","All","18 Years and older   (Adult, Older Adult)","Phase 1|Phase 2","60","Other","Interventional","Allocation: N/A|Intervention Model: Single Group Assignment|Masking: None (Open Label)|Primary Purpose: Health Services Research","2018-9590","March 1, 2020","June 30, 2020","June 30, 2020","March 26, 2019",,"May 4, 2020","Montefiore Medical Center, Bronx, New York, United States",,"https://ClinicalTrials.gov/show/NCT03890900"
363,"NCT03881995","Effects of Insulin Glargine and Lixisenatide on the Brain","Lixibrain01","Recruiting","No Results Available","Diabetes Mellitus, Type 2","Drug: IGlarLixi|Drug: Insulin Glargine 100 UNT/ML","Brain insulin sensitivity|Processing of food pictures|Cognitive function|Glycemic control|Liver fat content|Total adipose tissue (TAT)|Visceral adipose tissue (VAT)|Subcutaneous adipose tissue (SCAT)|Body fat|Lean body mass|Body weight","University Hospital Tuebingen","All","18 Years to 65 Years   (Adult, Older Adult)","Phase 4","40","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Basic Science","808/2018AMG1|2018-003557-21","March 18, 2019","February 1, 2021","March 1, 2021","March 20, 2019",,"April 18, 2019","University of Tuebingen, Department of Internal Medicine IV, Tübingen, Germany",,"https://ClinicalTrials.gov/show/NCT03881995"
364,"NCT03819790","The Effect of Soliqua on Glucose Variability in Type 2 Patients Among South Asians","VARIATION 2 SA","Recruiting","No Results Available","Diabetes Mellitus, Type 2","Drug: Basal insulin glargine and lixisenatide|Drug: Basal insulin Basaglar/Lantus + gliclazide MR|Drug: Metformin","Time in range at week 13|Time in range within 12-hours (6 AM -6 PM) at week 13|Daily glucose standard deviation (SD) at week 13|Overall SD of CGM glucose at week 13|Mean of glucose at week 13|Frequency of hypoglycemia at week 13|Time in hypoglycemia at week 13|Frequency of hyperglycemia at week 13|Time in hyperglycemia at week 13|Daily glucose standard deviation (SD) within 12 hours (6AM-6PM) at week 13|Overall SD of glucose within 12 hours (6AM-6PM) at week 13|Mean of glucose within 12 hours (6AM-6PM) at week 13|Frequency of hypoglycemia within 12 hours (6AM-6PM) at week 13|Time in hypoglycemia within 12 hours (6AM-6PM) at week 13|Frequency of hyperglycemia within 12 hours (6AM-6PM) at week 13|Time in hyperglycemia within 12 hours (6AM-6PM) at week 13|A1C mean at week 13|Changes A1C|Proportion of A1C <7% at week 13|Proportion of A1C <8% at week 13|Mean basal insulin dose at week 13|Change in weight|Change in waist circumference|Change in carbohydrate intake|Proportion of patients who have A1C ≤ 7% with no hypoglycemia and no weight gain from baseline|Proportion of patients who have A1C ≤ 7% with no hypoglycemia and weight gain <3% from baseline|Proportion of patients who have fasting blood glucose ≤ 5.5 mmol/L without nocturnal hypoglycemia|Change in DiabMedSat Score|Change in HFS Score|HCP treatment satisfaction score","LMC Diabetes & Endocrinology Ltd.","All","18 Years to 80 Years   (Adult, Older Adult)","Phase 4","104","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","VARIATION 2 SA","October 2, 2018","December 30, 2019","December 30, 2019","January 29, 2019",,"May 14, 2019","LMC Brampton, Brampton, Ontario, Canada|LMC Etobicoke, Etobicoke, Ontario, Canada|LMC Scarborough, Toronto, Ontario, Canada",,"https://ClinicalTrials.gov/show/NCT03819790"
365,"NCT04090242","Impact of App Based Diabetes Training Program in Conjunction With the BD Nano Pen Needle in People With T2 Diabetes",,"Recruiting","No Results Available","Diabetes Mellitus, Type 2","Device: BD Diabetes Care Application (for mobile devices) PLUS use of BD Nano Pen Needle","Change in Attitudes Toward Diabetes - Diabetes Empowerment Scale (DES)|Change in 24 hour average blood glucose|Time in range|Change in Mean Amplitude of Glycemic Excursion (MAGE)|Change in Diabetes Distress Screening Scale - 17 (DDS17)|Change in Insulin Delivery System Rating Questionnaire - IDSRQ|Change in Adherence to Refills and Medications Scale for Diabetes - ARMS-D|Patient Satisfaction","Becton, Dickinson and Company","All","22 Years and older   (Adult, Older Adult)","Not Applicable","86","Industry","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Supportive Care","DBC-19BRGHT02","September 6, 2019","June 12, 2020","June 12, 2020","September 16, 2019",,"May 19, 2020","Mills Pennisula Medical Center-Diabetes Research Institute, San Mateo, California, United States|Metabolic Research Institute, West Palm Beach, Florida, United States|East West Medical Research Institute, Honolulu, Hawaii, United States|Texas Diabetes and Endocrinology, Austin, Texas, United States",,"https://ClinicalTrials.gov/show/NCT04090242"
366,"NCT04128995","Surgical or Medical Treatment","ST2OMP","Recruiting","No Results Available","Diabetes Mellitus, Type 2|Pediatric Obesity|Bariatric Surgery Candidate","Procedure: Bariatric Surgery|Drug: Advanced Medical Therapy","Glycemic Control|Glycemic Variability|Beta Cell Function|Alpha cell function|Incretin Response|Fatty Liver Disease|Dyslipidemia|Hypertension|Diabetic Kidney Disease","Children's Hospital Medical Center, Cincinnati|Children's Hospital Colorado","All","13 Years to 19 Years   (Child, Adult)","Phase 4","90","Other","Interventional","Allocation: Non-Randomized|Intervention Model: Parallel Assignment|Masking: None (Open Label)|Primary Purpose: Treatment","R01DK119450","December 15, 2019","January 5, 2022","August 30, 2024","October 16, 2019",,"January 2, 2020","Children's Hospital Colorado, Aurora, Colorado, United States|Cincinnati Childrens, Cincinnati, Ohio, United States",,"https://ClinicalTrials.gov/show/NCT04128995"
