"Rank","Title","Status","Study Results","Conditions","Interventions","Sponsor/Collaborators","Other IDs","First Posted","Locations","URL"
736,"Development and Validation of a qPCR Cell Free DNA Assay as a Potential Biomarker for Predicting Early Non-response to Therapy in Metastatic Cancer","Active, not recruiting","No Results Available","Metastatic Non-Small Cell Lung Carcinoma|Metastatic Colorectal Cancer|Metastatic Breast Cancer","Diagnostic Test: Blood-based cell-free cfDNA qPCR assay","Cadex Genomics","CADEX-0001","March 27, 2019","CARTI Cancer Center, Little Rock, Arkansas, United States|Sutter Health - Palo Alto Medical Foundation, Sunnyvale, California, United States|Rocky Mountain Cancer Centers, Denver, Colorado, United States|Cancer Specialists of North Florida, Jacksonville, Florida, United States|IACT Health, Columbus, Georgia, United States|University Medical Center, New Orleans, Louisiana, United States|Southeast Louisiana Veterans Health Care System, New Orleans, Louisiana, United States|Nebraska Cancer Center, Omaha, Nebraska, United States|National Translational Research Group LLC, Port Jefferson Station, New York, United States|Waverly Hematology Oncology, Cary, North Carolina, United States|Advent Health, Hendersonville, North Carolina, United States|Greenville Health System - Prisma Health, Greenville, South Carolina, United States|West Cancer Center and Research Institute, Germantown, Tennessee, United States|McGill University, Montréal, Quebec, Canada","https://ClinicalTrials.gov/show/NCT03892096"
737,"Phase I-II, FIH, TROP2 ADC, Advanced Unresectable/Metastatic Solid Tumors, Refractory to Standard Therapies","Recruiting","No Results Available","Ovarian Epithelial Cancer|Gastric Adenocarcinoma|Pancreas Adenocarcinoma|Triple Negative Breast Cancer|Bladder Cancer","Drug: SKB264","Klus Pharma Inc.","KL264-01","November 5, 2019","University of California Los Angeles, Los Angeles, California, United States|Georgetown University, Washington, District of Columbia, United States|Florida Cancer Specialists and Research Institute, Sarasota, Florida, United States|Beth Israel Deaconess Medical Center, Boston, Massachusetts, United States|START MidWest, Grand Rapids, Michigan, United States|The University of Oklahoma Health Sciences Center, Oklahoma City, Oklahoma, United States|Providence Cancer Institute, Franz Clinic, Portland, Oregon, United States|Mary Crowley Cancer Research, Dallas, Texas, United States|MD Anderson Cancer Center, Houston, Texas, United States|Virginia Cancer Specialists, Fairfax, Virginia, United States","https://ClinicalTrials.gov/show/NCT04152499"
738,"Ultrasound Guided Costotransverse Block for Breast Cancer Surgery","Completed","No Results Available","Postoperative Pain","Other: costotransverse block","Cigli Regional Training Hospital","CTB in Breast surgery","December 13, 2019","Cigli regional research hospital, İzmir, Turkey","https://ClinicalTrials.gov/show/NCT04197206"
739,"Evaluation of Perforator Phase Contrast Angiography in Developing Surgery Plans for Patients With Breast Cancer Undergoing Breast Reconstruction With Free-Flap Methods After Mastectomy","Not yet recruiting","No Results Available","Mammoplasty Patient","Procedure: Angiography|Procedure: MRI-Based Angiogram|Other: Quality-of-Life Assessment","Ohio State University Comprehensive Cancer Center|National Cancer Institute (NCI)","OSU-18094|NCI-2018-03417|P30CA016058","August 21, 2019","Ohio State University Comprehensive Cancer Center, Columbus, Ohio, United States","https://ClinicalTrials.gov/show/NCT04063410"
740,"Study of CB-839 (Telaglenastat) in Combination With Talazoparib in Patients With Solid Tumors","Recruiting","No Results Available","Solid Tumor|Clear Cell Renal Cell Carcinoma|TNBC - Triple-Negative Breast Cancer|Colorectal Cancer|CRC|RCC|ccRCC","Drug: CB-839|Drug: Talazoparib","Calithera Biosciences, Inc","CX-839-011","March 14, 2019","University of Alabama, Birmingham, Alabama, United States|Winship Cancer Institute of Emory University, Atlanta, Georgia, United States|University of Iowa, Iowa City, Iowa, United States|Massachusetts General Hospital, Boston, Massachusetts, United States|Columbia University, New York, New York, United States|MD Anderson, Houston, Texas, United States|South Texas Accelerated Research Therapeutics, LLC, San Antonio, Texas, United States|Huntsman Cancer Institute, Salt Lake City, Utah, United States|University of Wisconsin, Madison, Wisconsin, United States","https://ClinicalTrials.gov/show/NCT03875313"
741,"A Study of SGN-CD228A in Advanced Solid Tumors","Recruiting","No Results Available","Cutaneous Melanoma|Pleural Mesothelioma|Breast Cancer|Non-small Cell Lung Cancer|Colorectal Cancer|Pancreatic Ductal Adenocarcinoma","Drug: SGN-CD228A","Seattle Genetics, Inc.","SGN228-001","August 2, 2019","Angeles Clinic and Research Institute, The, Santa Monica, California, United States|Case Western Reserve University / University Hospitals Cleveland Medical Center, Cleveland, Ohio, United States|MD Anderson Cancer Center / University of Texas, Houston, Texas, United States|South Texas Accelerated Research Therapeutics, San Antonio, Texas, United States","https://ClinicalTrials.gov/show/NCT04042480"
742,"Surgical and Oncologic Outcomes After Robotic Nipple Sparing Mastectomy and Immediate Reconstruction","Enrolling by invitation","No Results Available","Postoperative Complications|Recurrence|Breast Neoplasms|Breast Cancer|BRCA1 Mutation|BRCA2 Mutation|Surgery|Surgery--Complications","Procedure: Robotic nipple sparing mastectomy","Severance Hospital|European Institute of Oncology|Changhua Christian Hospital|Gustave Roussy, Cancer Campus, Grand Paris","4-2019-0834","September 27, 2019","Yonsei University College of Medicine, Seoul, Korea, Republic of","https://ClinicalTrials.gov/show/NCT04108117"
743,"Prevention of Obesity-related Cancers: Setting up of a Multi-Cancer Education and Prevention Program in Hong Kong","Recruiting","No Results Available","Obesity|Colorectal Cancer|Prostate Cancer|Breast Cancer","Diagnostic Test: Faecal Immunochemical Test|Diagnostic Test: Prostate-Specific Antigen Test|Diagnostic Test: Mammogram","Chinese University of Hong Kong","MCP Study_Protocol_20190226","July 29, 2019","Lek Yuen Health Centre, Hong Kong, Hong Kong","https://ClinicalTrials.gov/show/NCT04034953"
744,"Multicentric Risk Evaluation of Autologous Fat Grafting Procedure","Active, not recruiting","No Results Available","Pain, Postoperative","Procedure: Autologous fat grafting procedure|Procedure: Breast reconstruction","Humanitas Clinical and Research Center","1955K","October 17, 2019","Istituto Clinico Humanitas, Rozzano, Milan, Italy","https://ClinicalTrials.gov/show/NCT04130373"
745,"Prevention of Heart Failure Induced by Doxorubicin With Early Administration of Dexrazoxane","Not yet recruiting","No Results Available","Healthy","Drug: Dexrazoxane","Hui-Ming Chang|University of Missouri-Columbia","2014006","April 29, 2019",,"https://ClinicalTrials.gov/show/NCT03930680"
746,"Recurrence Risk Evaluation by 21-gene Detection","Completed","No Results Available","Relationship and Consistency Analysis","Diagnostic Test: recurrence risk evaluation","Xijing Hospital","KY2019","February 15, 2019","Xijing hoapital, Xi'an, China","https://ClinicalTrials.gov/show/NCT03841266"
747,"The CONTRoL Trial: Cryotherapy vs. cOmpression Neuropathy TRiaL","Recruiting","No Results Available","CIPN - Chemotherapy-Induced Peripheral Neuropathy","Device: Cryotherapy|Device: Compression Therapy|Device: Loose glove/sock","Columbia University","AAAR9515","March 13, 2019","Columbia University Medical Center, New York, New York, United States","https://ClinicalTrials.gov/show/NCT03873272"
748,"Weight Management and Health Behavior Intervention in Lowering Cancer Risk for BRCA Positive and Lynch Syndrome Families","Recruiting","No Results Available","Hereditary Breast Carcinoma|Hereditary Ovarian Carcinoma|Lynch Syndrome|Mutation Carrier","Behavioral: Behavioral Dietary Intervention|Other: E-mail|Behavioral: Exercise Intervention|Other: Internet-Based Intervention|Other: Questionnaire Administration|Behavioral: Telephone-Based Intervention|Other: Text Message","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","2016-0775|NCI-2019-02453|P30CA016672","October 14, 2019","M D Anderson Cancer Center, Houston, Texas, United States","https://ClinicalTrials.gov/show/NCT04125914"
749,"Efficacy and Safety of Pembrolizumab (MK-3475) Plus Lenvatinib (E7080/MK-7902) in Previously Treated Participants With Select Solid Tumors (MK-7902-005/E7080-G000-224/LEAP-005)","Active, not recruiting","No Results Available","Advanced Solid Tumors|Triple Negative Breast Cancer|Ovarian Cancer|Gastric Cancer|Colorectal Cancer|Glioblastoma|Biliary Tract Cancers","Biological: Pembrolizumab|Drug: Lenvatinib","Merck Sharp & Dohme Corp.|Eisai Inc.","7902-005|2018-003747-37|MK-7902-005|E7080-G000-224|LEAP-005","January 9, 2019","City of Hope ( Site 0002), Duarte, California, United States|Cedars Sinai Medical Center ( Site 0003), Los Angeles, California, United States|University of California Davis Comprehensive Cancer Center ( Site 0005), Sacramento, California, United States|University of Colorado, Anschutz Cancer Pavilion ( Site 0007), Aurora, Colorado, United States|University of Florida-Health Cancer Center-Orlando ( Site 0015), Orlando, Florida, United States|Rutgers Cancer Institute of New Jersey ( Site 0009), New Brunswick, New Jersey, United States|Laura and Isaac Perlmutter Cancer Center at NYU Langone Health ( Site 0023), New York, New York, United States|West Cancer Center - East Campus ( Site 0018), Germantown, Tennessee, United States|Swedish Medical Center ( Site 0021), Seattle, Washington, United States|University of Wisconsin Carbone Cancer Center ( Site 0017), Madison, Wisconsin, United States|Royal Brisbane and Women s Hospital ( Site 0901), Herston, Queensland, Australia|Alfred Health ( Site 0902), Melbourne, Victoria, Australia|BC Cancer - Abbotsford ( Site 0200), Abbotsford, British Columbia, Canada|CancerCare Manitoba ( Site 0201), Winnipeg, Manitoba, Canada|Juravinski Cancer Centre ( Site 0208), Hamilton, Ontario, Canada|Sunnybrook Research Institute ( Site 0207), Toronto, Ontario, Canada|Princess Margaret Cancer Centre ( Site 0202), Toronto, Ontario, Canada|CHU de Quebec Universite de Laval ( Site 0206), Quebec, Canada|Fundacion Arturo Lopez Perez ( Site 1201), Santiago, Chile|Pontificia Universidad Catolica de Chile ( Site 1202), Santiago, Chile|Hospital Clinico Universidad de Chile ( Site 1200), Santiago, Chile|Instituto Clinico Oncologico del Sur ( Site 1203), Temuco, Chile|Centre Oscar Lambret ( Site 0401), Lille, France|Centre Leon Berard ( Site 0405), Lyon, France|Centre Antoine Lacassagne ( Site 0404), Nice, France|Institut de Cancerologie de l Ouest Centre Rene Gauducheau ( Site 0402), Saint-Herblain, France|Institut Claudius Regaud IUCT Oncopole ( Site 0403), Toulouse, France|Institut Gustave Roussy ( Site 0400), Villejuif, France|Universitaetsklinikum Frankfurt ( Site 0306), Frankfurt am Main, Germany|Universitaetsklinikum Jena ( Site 0302), Jena, Germany|Universitaetsklinikum Regensburg ( Site 0304), Regensburg, Germany|HELIOS Dr. Horst Schmidt Kliniken Wiesbaden ( Site 0301), Wiesbaden, Germany|Soroka Medical Center ( Site 0601), Beer Sheva, Israel|Rambam Medical Center ( Site 0602), Haifa, Israel|Chaim Sheba Medical Center ( Site 0600), Ramat Gan, Israel|Sourasky Medical Center ( Site 0603), Tel Aviv, Israel|Seoul National University Hospital ( Site 1000), Seoul, Korea, Republic of|Severance Hospital Yonsei University Health System ( Site 1001), Seoul, Korea, Republic of|Asan Medical Center ( Site 1002), Seoul, Korea, Republic of|Hospital Clinic i Provincial ( Site 0703), Barcelona, Spain|Hospital Universitario Gregorio Maranon ( Site 0701), Madrid, Spain|Clinica Universitaria de Navarra ( Site 0704), Madrid, Spain|Hospital Ramon y Cajal ( Site 0702), Madrid, Spain|Cambridge University Hospitals NHS Trust ( Site 0803), Cambridge, Cambridgeshire, United Kingdom|University Hospitals of Leicester NHS Trust ( Site 0804), Leicester, United Kingdom|Guy's Hospital ( Site 0806), London, United Kingdom|The Royal Marsden Foundation Trust ( Site 0800), London, United Kingdom|Christie NHS Foundation Trust ( Site 0805), Manchester, United Kingdom","https://ClinicalTrials.gov/show/NCT03797326"
750,"GB1275 Monotherapy and in Combination With an Anti-PD1 Antibody in Patients With Specified Advanced Solid Tumors or in Combination With Standard of Care in Patients With Metastatic Pancreatic Adenocarcinoma","Recruiting","No Results Available","Pancreatic Adenocarcinoma|Esophageal Adenocarcinoma|Esophageal Squamous Cell Carcinoma|Gastric Adenocarcinoma|Gastroesophageal Junction Adenocarcinoma|Triple Negative Breast Cancer|Castration-resistant Prostate Cancer|Microsatellite Stable Colorectal Cancer","Drug: GB1275|Drug: nab-paclitaxel and gemcitabine|Drug: pembrolizumab","GB006, Inc., a wholly owned subsidiary of Gossamer Bio, Inc.|MSD International GmbH (Merck Sharp & Dohme Corp, a subsidiary of Merck & Co., Inc.)|Gossamer Bio Inc.","GB1275-1101 (KEYNOTE-A36)","August 19, 2019","University of Colorado Hospital, Anschutz Cancer Pavilion (ACP), Aurora, Colorado, United States|Washington University School of Medicine - Siteman Cancer Center, Saint Louis, Missouri, United States|Memorial Sloan Kettering Cancer Center, New York, New York, United States|The Sarah Cannon Research Institute/Tennessee Oncology, Nashville, Tennessee, United States|South Texas Accelerated Research Therapeutics, LLC, San Antonio, Texas, United States|The Royals Marsden NHS Foundation Trust, Sutton, Surrey, United Kingdom","https://ClinicalTrials.gov/show/NCT04060342"
751,"Living Well After Breast Surgery","Active, not recruiting","No Results Available","Breast Cancer Female|Stage I Breast Cancer|Stage II Breast Cancer|Stage III Breast Cancer|Ductal Carcinoma in Situ|Ductal Breast Carcinoma|Lobular Breast Carcinoma","Other: Breast reconstruction decision aid|Other: Educational website","University of Texas at Austin|Ohio State University|Washington University School of Medicine","2018-05-0009","February 8, 2019","Texas Oncology, Austin, Texas, United States","https://ClinicalTrials.gov/show/NCT03834532"
752,"OPTimizing Treatment Focused Genetic Testing IN Cancer","Recruiting","No Results Available","Breast Cancer|Ovarian Cancer|Pancreatic Cancer|Prostate Cancer","Other: Chatbot|Other: Video Education","Dana-Farber Cancer Institute","19-068","August 26, 2019","Dana Farber Cancer Institute, Boston, Massachusetts, United States","https://ClinicalTrials.gov/show/NCT04066361"
753,"Effect of Dexmedetomidine on the Duration of Pain Control in ESP Block for Breast Surgery","Recruiting","No Results Available","Breast Cancer|Mastectomy|Axillary Lymph Node Dissection|Pain, Postoperative","Drug: Dexmedetomidine","Lebanese American University","LAUMCRH.YJ1.16/Jul/2019","July 23, 2019","Lebanese American University Medical Center-Rizk Hospital, Beirut, Lebanon","https://ClinicalTrials.gov/show/NCT04029467"
754,"Study With Bispecific Antibody Engaging T-cells, in Patients With Progressive Cancer Diseases With Positive PSCA Marker","Recruiting","No Results Available","Non-small Cell Lung Cancer|Breast Cancer|Pancreatic Cancer|Urogenital Cancer","Drug: GEM3PSCA","GEMoaB Monoclonals GmbH|GCP-Service International Ltd. & Co. KG","GEM3PSCA-01","April 25, 2019","Klinikum rechts der Isar der TU München, Munich, Bayern, Germany|Universitätsklinikum Würzburg, Würzburg, Bayern, Germany|Universitätsklinikum Dresden, Dresden, Sachsen, Germany","https://ClinicalTrials.gov/show/NCT03927573"
755,"The Clinical Study of Modern Therapies on Flora in Body Fluids and Blood of Malignant Tumor Patients","Not yet recruiting","No Results Available","Lung Cancer|Breast Cancer|Gastrointestinal Cancer|Malignant Neoplasms","Diagnostic Test: Flora analysis","The First Affiliated Hospital of Dalian Medical University","PJ-KS-KY-2019-134","December 18, 2019","The First Affiliated Hospital of Dalian Medical University, Dalian, Liaoning, China","https://ClinicalTrials.gov/show/NCT04202848"
756,"Phase I/IIa Study of 68GaNOTA-Anti-MMR-VHH2 for PET/CT","Recruiting","No Results Available","Malignant Solid Tumor|Breast Cancer|Head and Neck Cancer|Melanoma (Skin)","Drug: 68GaNOTA-Anti-MMR-VHH2","Universitair Ziekenhuis Brussel|Kom Op Tegen Kanker","UZBRU_VHH2_1|2017-001471-23","November 19, 2019","Uz Brussel, Brussels, Belgium","https://ClinicalTrials.gov/show/NCT04168528"
