role,name,affiliation,address,trial_id,processed_name,first_name,gender,gender_probability,gender_sample_count,Rank,Title,Status,Study Results,Conditions,Interventions,Sponsor/Collaborators,Other IDs,First Posted,Locations,URL
Principal Investigator,"Olivier Rigal, MD",Centre Henri Becquerel,,NCT03946579,olivier rigal,olivier,male,0.99,76702,144,Quality of Life and Sexuality of Patients Over 65 Years Undergoing Adjuvant Treatment for Breast Cancer,Recruiting,No Results Available,Breast Cancer,Other: self questionnaires,Centre Henri Becquerel,CHB18.04,"May 10, 2019","CHU Amiens, Amiens, France|Centre François Baclesse, Caen, France|Centre Henri Becquerel, Rouen, France",https://ClinicalTrials.gov/show/NCT03946579
Principal Investigator,"Olivier Tredan, MD",Centre Leon Berard,,NCT03818685,olivier tredan,olivier,male,0.99,76702,256,Evaluate the Clinical Benefit of a Post-operative Treatment Associating Radiotherapy + Nivolumab + Ipilimumab Versus Radiotherapy + Capecitabine for Triple Negative Breast Cancer Patients With Residual Disease,"Active, not recruiting",No Results Available,Breast Cancer|Triple Negative Breast Neoplasms,Drug: Nivolumab|Drug: Ipilimumab|Drug: Capecitabine,Centre Leon Berard,ET17-093 BreastImmune03,"January 28, 2019","Institut de Cancérologie de l'Ouest, Angers, France|Institut Sainte Catherine, Avignon, France|CHRU Besançon, Besançon, France|Centre Francois Baclesse, Caen, France|Hopital Prive Jean Mermoz, Lyon, France|Centre Léon Bérard, Lyon, France|Clinique de la Sauvegarde, Lyon, France|Institut Paoli Calmettes, Marseille, France|Centre Antoine Lacassagne, Nice, France|Institut Curie, Paris, France|Institut Jean Godinot, Reims, France|Institut Curie, Saint Cloud, France|Institut de Cancérologie de l'Ouest, Saint-Herblain, France|Centre Paul Strauss, Strasbourg, France",https://ClinicalTrials.gov/show/NCT03818685
Principal Investigator,"Olivier Rixe, MD",Quantum Santa Fe,,NCT04064359,olivier rixe,olivier,male,0.99,76702,336,Safety and Preliminary Efficacy of OBT076 in Recurrent/Metastatic CD205+ Solid Tumors and HER2-neg Breast Cancer,Recruiting,No Results Available,Breast Cancer|Solid Tumor,"Drug: OBT076, a CD205-directed antibody-drug conjugate",Oxford BioTherapeutics Ltd,OBT076-001,"August 21, 2019","Cedars-Sinai, Los Angeles, California, United States|UCLA, Santa Monica, California, United States|Moffitt Cancer Center, Tampa, Florida, United States|Quantum Santa Fe, Santa Fe, New Mexico, United States|Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04064359
Principal Investigator,"Gary Schwartz, MD",Columbia University,,NCT04064359,gary schwartz,gary,male,0.99,29381,336,Safety and Preliminary Efficacy of OBT076 in Recurrent/Metastatic CD205+ Solid Tumors and HER2-neg Breast Cancer,Recruiting,No Results Available,Breast Cancer|Solid Tumor,"Drug: OBT076, a CD205-directed antibody-drug conjugate",Oxford BioTherapeutics Ltd,OBT076-001,"August 21, 2019","Cedars-Sinai, Los Angeles, California, United States|UCLA, Santa Monica, California, United States|Moffitt Cancer Center, Tampa, Florida, United States|Quantum Santa Fe, Santa Fe, New Mexico, United States|Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04064359
Principal Investigator,"Solmaz Sahebjam, MD",Moffitt Cancer Center,,NCT04064359,solmaz sahebjam,solmaz,female,0.91,714,336,Safety and Preliminary Efficacy of OBT076 in Recurrent/Metastatic CD205+ Solid Tumors and HER2-neg Breast Cancer,Recruiting,No Results Available,Breast Cancer|Solid Tumor,"Drug: OBT076, a CD205-directed antibody-drug conjugate",Oxford BioTherapeutics Ltd,OBT076-001,"August 21, 2019","Cedars-Sinai, Los Angeles, California, United States|UCLA, Santa Monica, California, United States|Moffitt Cancer Center, Tampa, Florida, United States|Quantum Santa Fe, Santa Fe, New Mexico, United States|Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04064359
Principal Investigator,"Monica Mita, MD",Cedars-Sinai,,NCT04064359,monica mita,monica,female,0.99,81357,336,Safety and Preliminary Efficacy of OBT076 in Recurrent/Metastatic CD205+ Solid Tumors and HER2-neg Breast Cancer,Recruiting,No Results Available,Breast Cancer|Solid Tumor,"Drug: OBT076, a CD205-directed antibody-drug conjugate",Oxford BioTherapeutics Ltd,OBT076-001,"August 21, 2019","Cedars-Sinai, Los Angeles, California, United States|UCLA, Santa Monica, California, United States|Moffitt Cancer Center, Tampa, Florida, United States|Quantum Santa Fe, Santa Fe, New Mexico, United States|Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04064359
Principal Investigator,"Lee Rosen, MD","University of California, Los Angeles",,NCT04064359,lee rosen,lee,male,0.8,38767,336,Safety and Preliminary Efficacy of OBT076 in Recurrent/Metastatic CD205+ Solid Tumors and HER2-neg Breast Cancer,Recruiting,No Results Available,Breast Cancer|Solid Tumor,"Drug: OBT076, a CD205-directed antibody-drug conjugate",Oxford BioTherapeutics Ltd,OBT076-001,"August 21, 2019","Cedars-Sinai, Los Angeles, California, United States|UCLA, Santa Monica, California, United States|Moffitt Cancer Center, Tampa, Florida, United States|Quantum Santa Fe, Santa Fe, New Mexico, United States|Columbia University Medical Center, New York, New York, United States",https://ClinicalTrials.gov/show/NCT04064359
Principal Investigator,Yali Xu,,,NCT04145960,yali xu,yali,female,0.62,191,145,Evaluation of Prognostic Monitoring for Women Who Have Completed Standard Treatment for Breast Cancer,Recruiting,No Results Available,Breast Cancer,,Peking Union Medical College Hospital,PUMCH-BC500,"October 31, 2019","Peking Union Medical College Hospital, Beijing, China",https://ClinicalTrials.gov/show/NCT04145960
Principal Investigator,Huiping Li,Beijing Cancer Hospital,,NCT03792529,huiping li,huiping,female,0.89,28,147,Prognosis and Targeted Therapy Related Molecular Screening Program for Patients of Breast Cancer in China,Recruiting,No Results Available,Breast Cancer,Other: detect gene mutations of ctDNA and ctRNA,"Beijing Cancer Hospital|Predicine (Shanghai) Medical Technology Co., Ltd.",2017KT40,"January 3, 2019","Beijing Cancer Hospital, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT03792529
Principal Investigator,"Huiping Li, PhD",Beijing Cancer Hosptial,,NCT03945604,huiping li,huiping,female,0.89,28,461,A Trial of SHR-1210 (an Anti-PD-1 Inhibitor) in Combination With Apatinib and Fluzoparib in Patients With TNBC,Recruiting,No Results Available,Triple Negative Breast Cancer,Drug: SHR-1210 + Apatinib +Fluzoparib,"Jiangsu HengRui Medicine Co., Ltd.",FZPL-Ib-105,"May 10, 2019","Beijing Cancer Hosptial, Beijing, Beijing, China",https://ClinicalTrials.gov/show/NCT03945604
Principal Investigator,"Mahmoud A Alhussini, md","faculty of medicine , univeristy of alexandria",,NCT03799757,mahmoud a alhussini,mahmoud,male,0.98,21229,688,Using Bupivacaine Locally in the Mastectomy Drains to Control Postoperative Pain,Completed,No Results Available,"Pain, Postoperative|Breast Cancer",Drug: 40ml of 0.25% bupivacaine|Drug: 40ml of 0.9% normal saline,Alexandria University,malhussini001,"January 10, 2019","Faculty of Medicine, Main Univeristy Hospital, Alexandria, Egypt",https://ClinicalTrials.gov/show/NCT03799757
Principal Investigator,"Anthony Yu, MD",Memorial Sloan Kettering Cancer Center,,NCT03983382,anthony yu,anthony,male,0.99,98251,153,A Study of Limited Heart Monitoring During Non-anthracycline Trastuzumab-based Therapy in Breast Cancer Patients,Recruiting,No Results Available,Breast Cancer,Diagnostic Test: Left Ventricular Ejection Fraction,Memorial Sloan Kettering Cancer Center,19-045,"June 12, 2019","Memorial Sloan Kettering Cancer Center @ BaskingRidge (Consent and follow-up only), Basking Ridge, New Jersey, United States|Memoral Sloan Kettering Monmouth (Consent and Follow up), Middletown, New Jersey, United States|Memorial Sloan Kettering Bergen (Consent and follow-up only), Montvale, New Jersey, United States|Memorial Sloan Kettering Cancer Center @ Commack (Consent and Follow up), Commack, New York, United States|Memoral Sloan Kettering Westchester (Consent and Follow-up), Harrison, New York, United States|Memorial Sloan - Kettering Cancer Center, New York, New York, United States|Memorial Sloan Kettering Nassau (Consent and Follow-up), Rockville Centre, New York, United States",https://ClinicalTrials.gov/show/NCT03983382
Principal Investigator,"Peter Schmid, MD PhD FRCP",Queen Mary University of London,,NCT03841747,peter schmid,peter,male,0.99,165452,154,Paclitaxel Plus Pembrolizumab vs. Paclitaxel Weekly in ER+ Luminal B Metastatic Breast Cancer,Not yet recruiting,No Results Available,Breast Cancer,Drug: Pembrolizumab|Drug: Paclitaxel,Queen Mary University of London|Merck Sharp & Dohme Corp.|European Institute of Oncology,012342QM|2018-000188-10,"February 15, 2019",,https://ClinicalTrials.gov/show/NCT03841747
Principal Investigator,"Peter Schmid, MD,PhD,FRCP","Centre for Experimental Cancer Medicine (CECM), Barts Cancer Institute",,NCT03997123,peter schmid,peter,male,0.99,165452,567,Capivasertib+Paclitaxel as First Line Treatment for Patients With Locally Advanced or Metastatic TNBC,Recruiting,No Results Available,Triple Negative Breast Neoplasms,Drug: Capivasertib|Drug: Paclitaxel|Drug: Placebo,AstraZeneca,D3614C00001,"June 25, 2019","Research Site, Tucson, Arizona, United States|Research Site, Los Angeles, California, United States|Research Site, Redlands, California, United States|Research Site, Whittier, California, United States|Research Site, Whittier, California, United States|Research Site, New Haven, Connecticut, United States|Research Site, Fort Myers, Florida, United States|Research Site, Miami, Florida, United States|Research Site, Plantation, Florida, United States|Research Site, Saint Petersburg, Florida, United States|Research Site, Tampa, Florida, United States|Research Site, Chicago, Illinois, United States|Research Site, Indianapolis, Indiana, United States|Research Site, Indianapolis, Indiana, United States|Research Site, Westwood, Kansas, United States|Research Site, Silver Spring, Maryland, United States|Research Site, Detroit, Michigan, United States|Research Site, East Hills, New York, United States|Research Site, New York, New York, United States|Research Site, Nyack, New York, United States|Research Site, Cincinnati, Ohio, United States|Research Site, Columbus, Ohio, United States|Research Site, Oklahoma City, Oklahoma, United States|Research Site, Philadelphia, Pennsylvania, United States|Research Site, Pittsburgh, Pennsylvania, United States|Research Site, Pittsburgh, Pennsylvania, United States|Research Site, Nashville, Tennessee, United States|Research Site, Austin, Texas, United States|Research Site, Fort Worth, Texas, United States|Research Site, Houston, Texas, United States|Research Site, San Antonio, Texas, United States|Research Site, Salt Lake City, Utah, United States|Research Site, Midlothian, Virginia, United States|Research Site, Newport News, Virginia, United States|Research Site, Caba, Argentina|Research Site, Caba, Argentina|Research Site, Caba, Argentina|Research Site, Ciudad Autonoma De Buenos Aire, Argentina|Research Site, Ciudad Autónoma de Bs. As., Argentina|Research Site, Córdoba, Argentina|Research Site, La Plata, Argentina|Research Site, Mar del Plata, Argentina|Research Site, Rosario, Argentina|Research Site, Santa Rosa, Argentina|Research Site, Barretos, Brazil|Research Site, Florianópolis, Brazil|Research Site, Goiania, Brazil|Research Site, Londrina, Brazil|Research Site, Natal, Brazil|Research Site, Porto Alegre, Brazil|Research Site, Porto Alegre, Brazil|Research Site, Rio de Janeiro, Brazil|Research Site, Rio de Janeiro, Brazil|Research Site, Sao Paulo, Brazil|Research Site, Sao Paulo, Brazil|Research Site, Sao Paulo, Brazil|Research Site, São José do Rio Preto, Brazil|Research Site, São Paulo, Brazil|Research Site, Calgary, Alberta, Canada|Research Site, Victoria, British Columbia, Canada|Research Site, Kitchener, Ontario, Canada|Research Site, Mississauga, Ontario, Canada|Research Site, North York, Ontario, Canada|Research Site, Toronto, Ontario, Canada|Research Site, Windsor, Ontario, Canada|Research Site, Chomutov, Czechia|Research Site, Horovice, Czechia|Research Site, Hradec Kralove, Czechia|Research Site, Jihlava, Czechia|Research Site, Olomouc, Czechia|Research Site, Praha 10, Czechia|Research Site, Praha 2, Czechia|Research Site, Praha 4, Czechia|Research Site, Brest Cedex, France|Research Site, Lyon Cedex 08, France|Research Site, Marseille, France|Research Site, Montpellier, France|Research Site, Nice, France|Research Site, Paris, France|Research Site, Saint Herblain, France|Research Site, Villejuif, France|Research Site, Bangalore, India|Research Site, Bangalore, India|Research Site, Gurgaon, India|Research Site, Hyderabad, India|Research Site, Hyderabad, India|Research Site, Kolkata, India|Research Site, Kolkata, India|Research Site, Madurai, India|Research Site, Mumbai, India|Research Site, Nagpur, India|Research Site, Nasik, India|Research Site, New Delhi, India|Research Site, New Delhi, India|Research Site, New Delhi, India|Research Site, Pune, India|Research Site, Fukuoka-shi, Japan|Research Site, Hidaka-shi, Japan|Research Site, Hiroshima-shi, Japan|Research Site, Kagoshima-shi, Japan|Research Site, Kitaadachi-gun, Japan|Research Site, Koto-ku, Japan|Research Site, Kumamoto-shi, Japan|Research Site, Matsuyama-shi, Japan|Research Site, Nagoya-shi, Japan|Research Site, Osaka-shi, Japan|Research Site, Osaka-shi, Japan|Research Site, Ota-shi, Japan|Research Site, Sapporo-shi, Japan|Research Site, Shinagawa-ku, Japan|Research Site, Shinjuku-ku, Japan|Research Site, Sunto-gun, Japan|Research Site, Takasaki-shi, Japan|Research Site, Tsu-shi, Japan|Research Site, Yokohama-shi, Japan|Research Site, Busan-si, Korea, Republic of|Research Site, Cheonan-si, Korea, Republic of|Research Site, Cheongju-si, Korea, Republic of|Research Site, Daegu, Korea, Republic of|Research Site, Goyang-si, Korea, Republic of|Research Site, Incheon, Korea, Republic of|Research Site, Seongnam-si, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Seoul, Korea, Republic of|Research Site, Aguascalientes, Mexico|Research Site, Estado de México, Mexico|Research Site, Guadalajara, Mexico|Research Site, Juchitan, Mexico|Research Site, Mexico Distrito Federal, Mexico|Research Site, Mexico, Mexico|Research Site, Monterrey, Mexico|Research Site, Tuxtla Gutierrez, Mexico|Research Site, Arequipa, Peru|Research Site, Callao, Peru|Research Site, Lima, Peru|Research Site, Bacolod, Philippines|Research Site, Bacolod, Philippines|Research Site, Baguio City, Philippines|Research Site, Baguio City, Philippines|Research Site, Cagayan De Oro City, Philippines|Research Site, Cebu City, Philippines|Research Site, Davao City, Philippines|Research Site, Iloilo City, Philippines|Research Site, Iloilo, Philippines|Research Site, Las Pinas, Philippines|Research Site, Legazpi City, Philippines|Research Site, Manila, Philippines|Research Site, Quezon City, Philippines|Research Site, San Juan, Philippines|Research Site, Bydgoszcz, Poland|Research Site, Grudziądz, Poland|Research Site, Konin, Poland|Research Site, Ostrołęka, Poland|Research Site, Poznan, Poland|Research Site, Racibórz, Poland|Research Site, Radom, Poland|Research Site, Tomaszów Mazowiecki, Poland|Research Site, Warszawa, Poland|Research Site, Wroclaw, Poland|Research Site, Guimarães, Portugal|Research Site, Lisboa, Portugal|Research Site, Lisboa, Portugal|Research Site, Lisboa, Portugal|Research Site, Porto, Portugal|Research Site, Arkhangelsk, Russian Federation|Research Site, Moscow, Russian Federation|Research Site, Moscow, Russian Federation|Research Site, Moscow, Russian Federation|Research Site, Moscow, Russian Federation|Research Site, Nizhniy Novgorod, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Saint-Petersburg, Russian Federation|Research Site, Volgograd, Russian Federation|Research Site, Yaroslavl, Russian Federation|Research Site, Ar Riyāḑ, Saudi Arabia|Research Site, Dammam, Saudi Arabia|Research Site, Jeddah, Saudi Arabia|Research Site, Makkah, Saudi Arabia|Research Site, Riyadh, Saudi Arabia|Research Site, Riyadh, Saudi Arabia|Research Site, Riyadh, Saudi Arabia|Research Site, Johannesburg, South Africa|Research Site, Johannesburg, South Africa|Research Site, Johannesburg, South Africa|Research Site, Pretoria, South Africa|Research Site, Pretoria, South Africa|Research Site, Badalona, Spain|Research Site, Barcelona, Spain|Research Site, Barcelona, Spain|Research Site, Hospitalet deLlobregat, Spain|Research Site, Jaén, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Madrid, Spain|Research Site, Málaga, Spain|Research Site, Pamplona, Spain|Research Site, Sevilla, Spain|Research Site, Valencia, Spain|Research Site, Zaragoza, Spain|Research Site, Göteborg, Sweden|Research Site, Linköping, Sweden|Research Site, Lund, Sweden|Research Site, Stockholm, Sweden|Research Site, Stockholm, Sweden|Research Site, Sundsvall, Sweden|Research Site, Umeå, Sweden|Research Site, Uppsala, Sweden|Research Site, Changhua, Taiwan|Research Site, Hsinchu, Taiwan|Research Site, Hualien City, Taiwan|Research Site, Kaohsiung, Taiwan|Research Site, Kaohsiung, Taiwan|Research Site, Taichung, Taiwan|Research Site, Tainan City, Taiwan|Research Site, Tainan City, Taiwan|Research Site, Tainan, Taiwan|Research Site, Taipei, Taiwan|Research Site, Taipei, Taiwan|Research Site, Taipei, Taiwan|Research Site, Taipei, Taiwan|Research Site, Bangkok, Thailand|Research Site, Bangkok, Thailand|Research Site, Bangkok, Thailand|Research Site, Muang, Thailand|Research Site, Songkla, Thailand|Research Site, Ankara, Turkey|Research Site, Ankara, Turkey|Research Site, Ankara, Turkey|Research Site, Ankara, Turkey|Research Site, Istanbul, Turkey|Research Site, Istanbul, Turkey|Research Site, Istanbul, Turkey|Research Site, Izmir, Turkey|Research Site, Malatya, Turkey|Research Site, Mersin, Turkey|Research Site, Edinburgh, United Kingdom|Research Site, Leeds, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, London, United Kingdom|Research Site, Sheffield, United Kingdom|Research Site, York, United Kingdom",https://ClinicalTrials.gov/show/NCT03997123
